id,eigenvector_centrality,eigenvector_centrality_weighted,pagerank,degree_centrality,core_number,closeness_centrality,clustering_coefficient,vertex_betweenes
Cha-F-700176,6.580467775579636e-07,5.883141364120815e-11,9.486867886510104e-06,0.000502487312195367,10,0.2658358045470332,0.0006807558794690914,8.000485422933299e-08
Cha-F-400158,5.9633701630597436e-05,4.546970164514835e-06,8.483349582847262e-06,0.004522385809758303,81,0.3040548799119966,0.00021773733294545635,1.8161847783775888e-06
fru-F-000020,1.4168703022789149e-05,4.007007656735974e-09,1.9707110794824097e-05,0.001004974624390734,20,0.299573994069034,0.0005093012351603851,4.0169313016364625e-07
Cha-F-500063,0.00041849926877896417,3.7605670776339174e-07,0.00010337884176319986,0.014069644741470278,148,0.37010656301723976,0.0002387167843172437,1.7200318009375114e-05
Cha-F-700166,1.8895639477600912e-05,2.299914185932156e-08,1.1219361408649285e-05,0.0009547258931711974,19,0.3122215249450894,0.000356152241746568,8.716466027209702e-08
fru-F-300199,0.00014908228375020737,1.9190696373003768e-07,2.4526281059086776e-05,0.003919401035123863,76,0.3413901945311696,0.00023683263425381974,4.258517859672687e-06
Gad1-F-100812,0.0003194455352421516,6.502134644559666e-07,4.6904411965302146e-05,0.0076880558765891165,113,0.3577257693413863,0.00026884711286951984,2.1586922509019535e-05
VGlut-F-500637,0.00012077550770540462,6.970949112481165e-08,2.382763916012944e-05,0.003567659916587106,64,0.3554956145835194,0.00027638173822147984,8.40119571045873e-06
Gad1-F-000073,0.0002733126828436544,1.4565960434715567e-07,1.9497996437947904e-05,0.005225868046831818,84,0.36810076945841963,0.00028109729227044174,3.8682624265833e-05
VGlut-F-700227,1.809231287444031e-05,3.9227786227630025e-09,1.5304448596317168e-05,0.0005527360434149038,10,0.3077410775035566,0.00046422437799768817,2.9418490155812526e-06
Cha-F-200412,9.51492142670549e-05,6.006961326624606e-08,1.0434269357872795e-05,0.0022611929048791516,44,0.33558733263633606,0.0003055119876097184,2.7814991279753854e-06
Gad1-F-700018,0.00035345011267389934,3.1925223031851387e-07,6.261397599618373e-05,0.011205467061956685,148,0.3575136980149106,0.00023554616545835397,2.1986624165404497e-05
VGlut-F-000093,0.0002825000994373997,7.509218278218253e-07,3.990452963130327e-05,0.004371639616099694,71,0.36305755723798233,0.0005526851916667419,1.978318094784597e-05
